Sample.ID,Sex,Batch,WBC,NEUT
JAXW202.3284,F,5,3.9,535.86
JAXW202.3285,F,5,3.84,564.48
JAXW202.3287,F,5,2.82,416.232
JAXW202.3288,F,5,5.4,824.04
JAXW202.3289,F,5,12.98,2915.308
JAXW202.3291,M,7,6.74,775.774
JAXW202.3292,M,7,3.92,604.464
JAXW202.3293,M,7,8.36,743.204
JAXW202.3294,M,7,4.04,294.92
JAXW202.3296,M,7,5.36,675.36
JAXW202.3297,M,7,4.5,865.8
JAXW202.3298,M,7,6.82,1034.594
JAXW202.3299,M,7,7.28,1121.848
JAXW202.3300,M,7,6.54,939.144
JAXW202.3301,M,7,2.54,1016.254
JAXW202.3302,M,7,4.54,1024.224
JAXW202.3304,F,5,2.82,533.262
JAXW202.3305,F,5,4.06,695.478
JAXW202.3308,F,5,4.56,656.64
JAXW202.3311,F,5,7.48,855.712
JAXW202.3312,F,5,6.16,1130.36
JAXW202.3313,F,5,5.12,496.128
JAXW202.3316,F,5,6.74,653.106
JAXW202.3317,F,5,4.52,642.292
JAXW202.3318,F,5,3.86,547.348
JAXW202.3320,F,5,5.5,483.45
JAXW202.3321,F,5,7.66,1097.678
JAXW202.3322,F,5,5.12,505.856
JAXW202.3323,F,5,2.8,483.84
JAXW202.3324,F,5,3,720.3
JAXW202.3325,F,5,2.88,631.008
JAXW202.3326,F,5,3.04,529.264
JAXW202.3327,F,5,5.04,428.4
JAXW202.3328,F,5,3.08,383.46
JAXW202.3329,F,5,4.04,705.384
JAXW202.3330,F,5,4.14,445.464
JAXW202.3331,F,5,3.9,386.49
JAXW202.3332,F,5,4.16,620.256
JAXW202.3333,F,6,5.54,857.592
JAXW202.3334,F,6,6.08,718.656
JAXW202.3335,F,6,6.06,1201.698
JAXW202.3336,F,6,4.78,634.306
JAXW202.3337,F,6,4.34,771.218
JAXW202.3338,F,6,4.1,613.77
JAXW202.3339,F,6,6.88,967.328
JAXW202.3340,F,6,5.46,992.628
JAXW202.3341,F,6,4.28,363.372
JAXW202.3342,F,6,3.02,791.542
JAXW202.3343,F,6,3.48,582.204
JAXW202.3345,F,6,5.94,745.47
JAXW202.3346,F,6,5.48,830.22
JAXW202.3347,F,6,2.96,459.688
JAXW202.3348,F,6,3.16,769.144
JAXW202.3349,F,6,4.1,421.48
JAXW202.3350,F,6,3.66,486.78
JAXW202.3351,F,6,2.14,263.006
JAXW202.3352,F,6,6.62,1134.006
JAXW202.3353,F,6,2.84,676.772
JAXW202.3354,F,6,3.06,709.92
JAXW202.3355,F,6,5.26,783.74
JAXW202.3356,F,6,5.64,1095.852
JAXW202.3357,F,6,6.26,896.432
JAXW202.3359,F,6,9.32,2139.872
JAXW202.3360,F,6,4.56,575.016
JAXW202.3361,F,6,3.28,831.48
JAXW202.3362,F,6,3.66,543.876
JAXW202.3363,F,5,5.4,502.74
JAXW202.3364,F,5,3.68,761.024
JAXW202.3365,F,6,2.22,547.896
JAXW202.3366,F,6,1.84,170.384
JAXW202.3367,F,6,4.86,639.576
JAXW202.3368,F,6,4.02,856.662
JAXW202.3369,F,6,3.7,772.93
JAXW202.3370,F,6,5.52,729.744
JAXW202.3371,F,6,5.86,663.938
JAXW202.3374,F,6,5.42,556.092
JAXW202.3375,F,6,3.7,488.4
JAXW202.3376,F,6,8.34,1110.054
JAXW202.3377,F,6,3.52,426.624
JAXW202.3378,F,6,3.86,672.412
JAXW202.3379,F,6,3.36,402.864
JAXW202.3380,F,6,6.08,544.16
JAXW202.3381,F,6,9.06,1384.368
JAXW202.3382,F,6,8.6,1116.28
JAXW202.3383,F,6,5.8,924.52
JAXW202.3384,F,6,4.74,626.154
JAXW202.3385,F,6,2.42,658.482
JAXW202.3386,F,6,4.4,647.24
JAXW202.3387,F,6,6.34,1127.886
JAXW202.3388,F,6,4.2,904.26
JAXW202.3389,F,6,7.72,941.068
