Sample.ID,Sex,Batch,WBC,NEUT
JAXW202.2298,M,10,7.32,2208.444
JAXW202.2299,M,10,4.44,523.476
JAXW202.2301,M,10,5.68,1253.576
JAXW202.2302,M,10,4.78,738.51
JAXW202.2305,M,10,4.84,666.468
JAXW202.2307,M,10,4.62,606.606
JAXW202.2308,M,11,4.92,534.312
JAXW202.2309,M,11,6.26,920.846
JAXW202.2310,M,11,6,993.6
JAXW202.2311,M,11,9.22,1565.556
JAXW202.2312,M,11,8.02,1106.76
JAXW202.2313,M,11,5.72,1334.476
JAXW202.2314,M,11,6.6,566.28
JAXW202.2315,M,11,14.78,1105.544
JAXW202.2316,M,11,6.96,805.272
JAXW202.2317,M,11,6,1147.8
JAXW202.2318,M,11,6.3,1130.22
JAXW202.2320,M,11,7.62,924.306
JAXW202.2321,M,11,4.8,686.88
JAXW202.2322,M,11,2.76,667.644
JAXW202.2323,M,11,7.4,1247.64
JAXW202.2324,M,11,10.22,1864.128
JAXW202.2325,M,11,2.94,502.446
JAXW202.2326,M,11,4.54,1014.69
JAXW202.2327,M,11,4.44,843.156
JAXW202.2328,M,11,7.24,1978.692
JAXW202.2330,M,11,6.66,849.15
JAXW202.2331,M,11,6.02,1214.836
JAXW202.2332,M,11,9.48,1923.492
JAXW202.2333,M,11,6.58,1110.046
JAXW202.2334,M,11,8.46,727.56
JAXW202.2336,M,11,6.3,721.98
JAXW202.2337,M,11,5.04,317.52
JAXW202.2338,M,11,4.52,1145.368
JAXW202.2339,M,11,6.56,1233.936
JAXW202.2340,M,11,4.88,878.4
JAXW202.2341,M,11,10.58,1564.782
JAXW202.2343,M,11,7.88,789.576
JAXW202.2346,M,11,9.36,1202.76
JAXW202.2348,M,11,5.24,591.596
JAXW202.2349,M,11,4.14,411.516
JAXW202.2351,M,12,10.92,1157.52
JAXW202.2352,M,12,4.16,865.28
JAXW202.2353,M,12,6.28,1288.66
JAXW202.2354,M,12,6.88,976.96
JAXW202.2355,M,12,6.66,1579.09
JAXW202.2356,M,12,6.02,1294.9
JAXW202.2357,M,12,4.78,1009.06
JAXW202.2358,M,12,7.8,908.7
JAXW202.2359,M,12,7.2,956.16
JAXW202.2360,M,12,6.28,1105.91
JAXW202.2361,M,12,9.04,1294.53
JAXW202.2362,M,12,5.94,1049.6
JAXW202.2363,M,12,6.88,1511.54
JAXW202.2364,M,12,9.02,1481.99
JAXW202.2365,M,12,5.74,1722.57
JAXW202.2366,M,12,3.8,619.02
JAXW202.2367,M,12,11.8,1853.78
JAXW202.2368,M,12,7.68,1447.68
JAXW202.2369,M,12,7.02,1154.79
JAXW202.2371,M,12,4.7,1088.52
JAXW202.2373,M,12,7.34,1481.21
JAXW202.2374,M,12,7.96,1485.34
JAXW202.2375,M,12,11.92,1942.96
JAXW202.2376,M,12,5.7,886.35
JAXW202.2377,M,12,7.7,640.64
JAXW202.2378,M,12,7.7,872.41
JAXW202.2379,M,12,7.74,1367.66
JAXW202.2381,M,12,8.18,876.9
JAXW202.2382,M,12,6.72,1192.8
JAXW202.2383,M,12,4.04,675.49
JAXW202.2384,M,12,6.92,839.4
JAXW202.2385,M,12,6.02,992.7
JAXW202.2387,M,12,9.02,1149.15
JAXW202.2388,M,12,8.22,1598.79
JAXW202.2389,M,12,4.8,737.28
JAXW202.2390,M,15,7.16,1113.38
JAXW202.2391,M,15,8.12,963.84
JAXW202.2392,M,15,5.22,1377.04
JAXW202.2393,M,15,4.32,698.11
JAXW202.2394,M,15,5.84,879.5
JAXW202.2395,M,15,6.28,1201.36
JAXW202.2397,M,15,8.32,1159.81
JAXW202.2398,M,15,7.8,1062.36
JAXW202.2400,M,15,9.62,1985.57
JAXW202.2401,M,15,6.32,848.14
JAXW202.2402,M,15,9.28,1290.85
JAXW202.2403,M,15,9.68,1380.37
JAXW202.2404,M,15,8.18,1219.64
JAXW202.2405,M,15,8.12,1061.28
JAXW202.2407,F,11,7.36,1106.944
JAXW202.2408,F,11,4.36,952.224
JAXW202.2410,F,11,4.36,545.872
JAXW202.2411,F,11,7.4,1135.16
JAXW202.2412,F,11,6.98,860.634
JAXW202.2413,F,11,12.48,2228.928
JAXW202.2415,F,11,9.04,1071.24
JAXW202.2416,F,11,12.64,1298.128
JAXW202.2417,F,11,7.32,1250.256
JAXW202.2418,F,11,10.16,859.536
JAXW202.2419,F,11,13.1,1710.86
JAXW202.2420,F,11,11.14,1435.946
JAXW202.2421,F,11,4.82,895.074
JAXW202.2422,F,11,6,626.4
JAXW202.2423,F,11,11.38,2321.52
JAXW202.2425,F,11,9.78,1232.28
JAXW202.2426,F,12,5.94,900.5
JAXW202.2427,F,12,3.86,739.19
JAXW202.2428,F,12,5.88,729.12
JAXW202.2429,F,12,6.22,1104.05
JAXW202.2430,F,12,4.94,650.1
JAXW202.2431,F,12,5.32,704.9
JAXW202.2432,F,12,8.32,1056.64
JAXW202.2433,F,12,7.88,860.5
JAXW202.2434,F,12,11.96,993.88
JAXW202.2435,F,12,5.62,714.86
JAXW202.2436,F,12,4.78,1032.48
JAXW202.2437,F,12,4,437.6
JAXW202.2438,F,12,10.52,2033.52
JAXW202.2439,F,12,4.98,1064.72
JAXW202.2440,F,12,4.7,1092.75
JAXW202.2441,F,12,2.1,198.24
JAXW202.2442,F,12,5.04,710.64
JAXW202.2443,F,12,7.86,1474.54
JAXW202.2444,F,12,3.76,708.01
JAXW202.2445,F,12,7.18,863.04
JAXW202.2446,F,12,3.44,659.79
JAXW202.2447,F,12,4.8,472.8
JAXW202.2449,F,15,9.72,1432.73
JAXW202.2450,F,15,3.58,612.18
JAXW202.2454,F,15,3.3,719.07
JAXW202.2455,F,15,4.96,696.88
JAXW202.2456,F,15,3.56,722.32
JAXW202.2457,F,15,7.66,1297.6
JAXW202.2459,F,15,6.7,725.61
JAXW202.2460,F,15,8.54,988.08
JAXW202.2461,F,15,10.32,1384.94
JAXW202.2462,F,15,9.54,1095.19
JAXW202.2463,F,15,5.68,671.38
JAXW202.2464,F,15,8.96,1078.78
JAXW202.2465,F,15,4.48,626.3
JAXW202.2466,F,15,9.72,1337.47
JAXW202.2467,F,15,9.5,943.35
JAXW202.2468,F,15,8.64,2380.32
JAXW202.2469,F,15,7.94,1266.43
JAXW202.2470,F,15,4.12,932.77
JAXW202.2471,F,15,5.14,384.47
JAXW202.2472,F,15,13.66,2432.85
JAXW202.2473,F,15,4.54,995.62
JAXW202.2474,F,15,6.36,877.04
JAXW202.2475,F,15,4.6,661.94
JAXW202.2476,F,15,6.42,706.2
JAXW202.2477,F,15,6.1,1407.88
JAXW202.2478,F,15,12.2,1449.36
JAXW202.2479,F,15,8.84,1665.46
JAXW202.2480,F,15,5.98,714.61
JAXW202.2481,F,15,6.28,1554.3
JAXW202.2487,F,15,5.54,1242.62
JAXW202.2490,F,15,7.28,863.41
JAXW202.2491,M,15,5.58,1157.29
JAXW202.2492,M,15,8.22,987.22
JAXW202.2493,M,15,8.9,1677.65
JAXW202.2494,M,16,3.36,623.28
JAXW202.2495,M,16,5.14,887.68
JAXW202.2496,M,16,5.1,869.04
JAXW202.2497,M,16,5.44,1068.96
JAXW202.2498,M,16,3.46,641.83
JAXW202.2501,M,16,8.64,1140.48
JAXW202.2506,M,16,6.12,859.25
JAXW202.2507,M,16,9.12,2429.57
JAXW202.2534,M,17,8.62,1301.62
JAXW202.2535,M,17,6.86,896.6
JAXW202.2536,M,17,5.34,1045.57
JAXW202.2543,M,17,4.82,659.86
